ID,High Cost,Higher Cost,Highest Cost,Low Cost,Lower Cost,Normal Cost
tour_idynufedne,0.13535191877347463,0.03925225943027311,0.0003171434074017617,0.07667192601420916,0.028175777402287275,0.720230974972354
tour_id9r3y5moe,0.2141822243510764,0.5956650511692059,0.04017038788879726,0.007529291901620801,0.010434179073962708,0.13201886561533718
tour_idf6itml6g,0.6789203442419698,0.1788462755843866,0.005474512178053218,0.008079745110804434,0.004723088424124686,0.12395603446066138
tour_id99u4znru,0.027166813583907646,0.013950085662761916,0.00012472710103786076,0.2954296518310456,0.09149777913619497,0.571830942685052
tour_idj4i9urbx,0.023367909378849184,0.006569136048488667,0.00018675227999937467,0.2687942626976139,0.26402062527010306,0.43706131432494577
tour_ids94pi2qs,0.056415871008072715,0.0287930191965265,0.00038398805684389774,0.13453667608162997,0.41896674951130625,0.3609036961456207
tour_id9xx2dq4e,0.14144672375324946,0.819332232871345,0.0029552872918071427,0.006105090541327808,0.00338010977953369,0.026780555762737083
tour_id9q7cbwf5,0.0151933199066582,0.002347745689537294,0.0001269302764158374,0.28142221693988445,0.26413391070172476,0.4367758764857795
tour_id28uzu8li,0.34060938928076917,0.3545939454273728,0.01708440259632874,0.0163541609299571,0.05264419235378021,0.21871390941179197
tour_idf7lvpips,0.007275924943735504,0.003401169666624498,0.0001789397556882066,0.27989971228297483,0.3900503241958257,0.3191939291551512
tour_id69abaq9f,0.28728048675635043,0.293114925383434,0.004470807535854014,0.08705727532102873,0.0414919576664721,0.2865845473368607
tour_id20ne7vgg,0.008556955569829534,0.0023246891816488618,0.00019180477191912967,0.24998290328530473,0.5549884124817223,0.1839552347095755
tour_ida99j69n7,0.13829772598201612,0.7837283002251118,0.04662428600567489,0.0028624039277258735,0.004251011958056712,0.024236271901414773
tour_idzwulen6z,0.00728241280002666,0.002492713615456842,0.00013000084379223014,0.0875257866445721,0.8114754256559783,0.091093660440174
tour_id82x4wwmo,0.379840196996821,0.40992045574517255,0.002358326620527408,0.02608364034728078,0.028708666302755856,0.15308871398744223
tour_idlhvaq2mf,0.11267616183685566,0.031012725207928984,0.00040054215390514746,0.0741356472973744,0.09899549019607362,0.6827794333078622
tour_id8t7kqb9n,0.7523277811229969,0.16358116967854475,0.009105378028480096,0.005208998100894402,0.005586674570915055,0.06418999849816866
tour_idrn7vpcu5,0.022285228313817403,0.00954475904882678,7.558744357689014e-05,0.24971724338090467,0.11607053232226112,0.6023066494906131
tour_idqk4wakw3,0.18011360811228658,0.6743418709193004,0.01972364504110799,0.01323886299134708,0.00920562779295662,0.1033763851430013
tour_id6fa1ag4g,0.27379846025079474,0.0851460602032284,0.0008005263003187355,0.08776913895314756,0.04314958435962469,0.5093362299328859
